year,artists,name,energy,danceability,speechiness,tempo
1928,"[Frédéric Chopin, Vladimir Horowitz]","Nocturne in C-Sharp Minor, Op. 27, No. 1 - 2001 Remastered",0.0224,0.409,0.0441,126.458
1928,"[Alexander Scriabin, Vladimir Horowitz]","Preludes: Op. 59, No. 2",0.21100000000000002,0.41100000000000003,0.0489,79.812
1928,"[Dmitry Kabalevsky, Vladimir Horowitz]","Sonata No. 3, Op. 46: I. Allegro con moto",0.242,0.266,0.0314,86.43700000000001
1928,[Seweryn Goszczyński],Chapter 3.14 - Zamek kaniowski,0.295,0.748,0.94,114.431
1928,[Francisco Canaro],¿Te Acuerdas Mamita? - Instrumental (Remasterizado),0.171,0.79,0.221,121.646
1928,[Ignacio Corsini],Quema Esas Cartas - Remasterizado,0.33,0.579,0.055,134.545
1928,"[Robert Schumann, Vladimir Horowitz]","Sonata No. 3, Op. 14: III: Variation III",0.191,0.316,0.0389,109.331
1928,"[Frédéric Chopin, Vladimir Horowitz]","Nocturne F Minor, Op. 55, No. 1",0.0577,0.245,0.0328,74.00399999999999
1928,"[Francisco Canaro, Charlo]",Tu Disfraz - Remasterizado,0.23800000000000002,0.78,0.209,121.064
1928,[Hikmet Rıza Hanım],Ayva Çiçek Açmış,0.16899999999999998,0.449,0.0497,66.372
1928,[Francisco Canaro],Emoción - Instrumental (Remasterizado),0.203,0.7659999999999999,0.0728,116.415
1928,[Ignacio Corsini],Cualquier Cosa - Remasterizado,0.13699999999999998,0.599,0.161,137.384
1928,"[Francisco Canaro, Charlo]",Pobre Gaucho - Remasterizado,0.205,0.615,0.0618,58.299
1928,"[Alexander Scriabin, Vladimir Horowitz]","Sonata No. 3, Op. 23 in F-Sharp Minor: III. Andante",0.0049,0.278,0.0407,81.033
1928,"[Alexander Scriabin, Vladimir Horowitz]","Preludes: Op. 11, No. 3 in G",0.0545,0.39299999999999996,0.0366,70.495
1928,[Shungi Music Crew],Trip to Limpopo,0.838,0.6990000000000001,0.0462,123.993
1930,[Elsie Houston],Óia o Sapo,0.55,0.78,0.396,83.383
1930,[Ignacio Corsini],Cobardia - Remasterizado,0.133,0.545,0.127,185.062
1930,[Francisco Canaro],Asuero - Instrumental (Remasterizado),0.159,0.746,0.18899999999999997,120.084
1930,[Αντώνης Νταλγκάς],Μπεστενγκιάρ μανές,0.0958,0.273,0.0465,86.281
1930,[Stellakis Perpiniadis],O milonas,0.46,0.503,0.0454,79.26899999999999
1930,[Αντώνης Διαμαντίδης],Θεοδωράκης Γρίβας,0.22899999999999998,0.414,0.0587,74.796
1930,"[S. Loukopoulos, Klarino G. Anestopoulos, Klarino KOstas Giaouzos, Klarinos Nikos Karakostas]",Xipna Pouli Mou To Proi,0.263,0.368,0.0476,101.447
1930,[Paradosiako I. KIriakatis],Kenouria Logia,0.308,0.342,0.0564,74.733
1930,[Moune De Rivel],Kiembeli,0.7140000000000001,0.69,0.0747,116.18799999999999
1930,[Dimitris Gkogkos],Matia glika kai galana,0.275,0.552,0.0599,117.057
