year,artists,name,energy,danceability,speechiness,tempo
1921,"['Sergei Rachmaninoff', 'Ruth Laredo']","12 Songs, Op. 21: No. 5, Lilacs (Version for Piano)",0.0536,0.263,0.0386,129.365
1921,['Christopher Lynch'],I Met Her In The Garden Where The Praties Grow,0.138,0.607,0.157,113.28200000000001
1921,['THE GUY'],I Don't Need You,0.32899999999999996,0.605,0.0354,79.934
1921,['Dennis Day'],St. Patrick's Day Parade,0.489,0.6609999999999999,0.10300000000000001,125.023
1921,['Ignacio Corsini'],Popular Tradición de Esta Tierra - Remasterizado,0.192,0.3670000000000001,0.29600000000000004,83.11
1921,['Maurice Chevalier'],Avec Le Sourire,0.247,0.526,0.0483,83.837
1921,"['Sergei Rachmaninoff', 'János Starker']",III. Andante,0.0135,0.158,0.038,67.377
1921,['Fred Gouin'],Colombinella,0.16,0.509,0.0572,109.296
1921,['Ignacio Corsini'],El Ultimo Adiós - Remasterizado,0.345,0.348,0.0654,65.854
1922,['Uli'],Carve,0.445,0.645,0.451,104.851
1922,['Ignacio Corsini'],Vivo para Quererte - Remasterizado,0.177,0.434,0.0512,130.418
1922,['Ignacio Corsini'],El Prisionero - Remasterizado,0.0946,0.321,0.0504,169.98
1922,['Francis Marty'],La Butte Rouge,0.355,0.51,0.124,85.75399999999998
1922,['Mistinguett'],La Java,0.184,0.563,0.0512,133.088
1922,['Greg Fieler'],Old Fashioned Girl,0.475,0.488,0.0399,139.952
1922,['Ignacio Corsini'],Martín Fierro - Remasterizado,0.0391,0.5479999999999999,0.153,75.595
1922,['Uli'],Lazy Boi,0.46,0.298,0.45299999999999996,87.921
1922,['Lucien Boyer'],Tu Verras Montmartre,0.28,0.703,0.174,127.531
1922,['Félix Mayol'],Elle Prend L'boulevard Magenta,0.289,0.7090000000000001,0.18,107.515
1922,['Victor Boucher'],Ca C'est Une Chose,0.33399999999999996,0.35200000000000004,0.0594,76.403
1922,['Ignacio Corsini'],El Vendaval - Remasterizado,0.3720000000000001,0.37,0.0865,159.66899999999995
1922,['Jeanne Saint Bonnet'],Ta Bouche,0.304,0.335,0.0506,76.57600000000002
