Rank,Track Name,Artist,loudness,speechiness
193,In My Feelings,Drake,-5.833,0.125
194,Please Me,Cardi B,-6.711,0.081
195,Bohemian Rhapsody - 2011 Mix,Queen,-9.961,0.0536
196,"Go Loko (feat. Tyga, Jon Z)",YG,-5.177,0.0468
197,when the party's over,Billie Eilish,-14.08,0.0621
198,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,-4.143,0.0702
199,Paradise,Bazzi,-6.273,0.0479
200,goosebumps,Travis Scott,-3.37,0.0484
201,Call You Mine,The Chainsmokers,-5.59,0.0289
202,All of Me,John Legend,-7.064,0.0322
203,bad guy (with Justin Bieber),Billie Eilish,-11.265,0.295
204,Natural,Imagine Dragons,-6.112,0.0409
205,Cuaderno,Dalex,-5.021,0.38
206,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,-6.976,0.0566
207,I.F.L.Y.,Bazzi,-4.823,0.0385
208,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,-4.039,0.362
209,Love Someone,Lukas Graham,-6.581,0.0505
210,Si Se Da,Myke Towers,-5.523,0.326
211,You Need To Calm Down,Taylor Swift,-5.617,0.0553
212,Sanguine Paradise,Lil Uzi Vert,-6.736,0.0666
213,Falling,Trevor Daniel,-8.756,0.0364
214,bellyache,Billie Eilish,-8.597,0.106
215,Say My Name,David Guetta,-5.119,0.123
216,New Rules,Dua Lipa,-6.021,0.0694
217,BOP,DaBaby,-3.909,0.367
218,Pa Mí - Remix,Dalex,-8.029,0.22
219,Talk,Khalid,-8.443,0.124
220,Trampoline (with ZAYN),SHAED,-5.782,0.0334
221,Get You The Moon (feat. Snøw),Kina,-16.541,0.188
222,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,-5.45,0.0412
223,Bruises,Lewis Capaldi,-7.83,0.0677
224,Be Alright,Dean Lewis,-6.319,0.0362
225,Ella Quiere Beber - Remix,Anuel AA,-3.083,0.124
226,Leave Me Alone,Flipp Dinero,-2.806,0.0851
227,Contra La Pared,Sean Paul,-7.14,0.118
228,Saint-Tropez,Post Malone,-3.618,0.0439
229,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,-5.248,0.0449
230,I Fall Apart,Post Malone,-5.408,0.0382
231,Last Christmas,Wham!,-12.472,0.0293
232,Indeciso,Reik,-4.902,0.0453
233,Motivation,Normani,-3.967,0.0984
234,Ransom,Lil Tecca,-6.257,0.287
235,Wow.,Post Malone,-7.359,0.208
236,"Carry On (from the Original Motion Picture '"POKÉMON Detective Pikachu'")",Kygo,-6.519,0.079
237,Mixed Personalities (feat. Kanye West),YNW Melly,-9.104,0.0803
238,Lights Up,Harry Styles,-8.09,0.0327
239,Africa,TOTO,-18.064,0.0323
240,Post Malone (feat. RANI),Sam Feldt,-3.87,0.122
241,223's (feat. 9lokknine),YNW Melly,-7.787,0.333
242,changes,XXXTENTACION,-10.068,0.029
243,Beautiful (feat. Camila Cabello),Bazzi,-4.722,0.0337
244,Reggaeton,J Balvin,-4.325,0.191
245,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,-6.976,0.0566
246,Si Te Vas,Sech,-4.124,0.132
247,FRIENDS,Marshmello,-2.384,0.0504
248,Easier,5 Seconds of Summer,-5.604,0.221
249,comethru,Jeremy Zucker,-11.991,0.0574
250,Teeth,5 Seconds of Summer,-2.961,0.0416
251,All Around The World (La La La),R3HAB,-5.03,0.033
252,Esclavo de Tus Besos,Manuel Turizo,-5.316,0.111
253,Blinding Lights,The Weeknd,-4.075,0.0629
254,Aullando,Wisin & Yandel,-4.52,0.0479
255,Lose Control,MEDUZA,-8.659,0.0415
256,Runaway,Sebastian Yatra,-3.33,0.0674
257,Look At Her Now,Selena Gomez,-7.906,0.271
258,my strange addiction,Billie Eilish,-10.952,0.354
259,This Feeling,The Chainsmokers,-7.906,0.0439
260,Ritual,Tiësto,-4.389,0.0552
261,Nonstop,Drake,-8.074,0.124
262,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,-6.373,0.12
263,Que Tire Pa Lante,Daddy Yankee,-2.814,0.0357
264,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,-6.529,0.0287
265,Thinking out Loud,Ed Sheeran,-6.061,0.0295
266,Good as Hell,Lizzo,-3.18,0.0875
267,I'm Yours,Jason Mraz,-8.322,0.0468
268,The Git Up,Blanco Brown,-8.635,0.109
269,Vete,Bad Bunny,-4.394,0.188
270,Money,Cardi B,-6.508,0.29
271,Old Town Road,Lil Nas X,-6.112,0.127
272,Baila Baila Baila - Remix,Ozuna,-7.504,0.123
273,Hot (feat. Gunna),Young Thug,-8.044,0.235
274,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,-4.167,0.228
275,Heaven,Avicii,-5.65,0.0275
276,Camelot,NLE Choppa,-5.252,0.401
277,Desconocidos,Mau y Ricky,-4.891,0.179
278,Si Se Da - Remix,Myke Towers,-5.612,0.299
279,xanny,Billie Eilish,-17.832,0.239
280,Feliz Navidad,José Feliciano,-7.059,0.0442
281,Que Calor (with J Balvin & El Alfa),Major Lazer,-4.129,0.0716
282,Antisocial (with Travis Scott),Ed Sheeran,-5.313,0.0495
283,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,-6.61,0.0848
284,Who Do You Love,The Chainsmokers,-4.673,0.0447
285,Who Do You Love,The Chainsmokers,-4.673,0.0447
286,Heartless,The Weeknd,-5.831,0.111
287,Shotgun,George Ezra,-4.733,0.0457
288,Ella Quiere Beber - Remix,Anuel AA,-3.083,0.124
289,Quizas,Rich Music LTD,-2.454,0.153
290,NI BIEN NI MAL,Bad Bunny,-8.33,0.0674
291,Enemies (feat. DaBaby),Post Malone,-4.169,0.21
292,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,-4.143,0.0702
293,Mother's Daughter,Miley Cyrus,-4.132,0.0594
294,Un Año,Sebastian Yatra,-6.808,0.0514
295,Armed And Dangerous,Juice WRLD,-6.702,0.311
296,Solo (feat. Demi Lovato),Clean Bandit,-4.608,0.0446
297,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,-3.922,0.0879
298,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,-3.001,0.0645
299,Hollywood's Bleeding,Post Malone,-3.206,0.0476
300,Santa Tell Me,Ariana Grande,-7.364,0.116
301,XO Tour Llif3,Lil Uzi Vert,-6.366,0.231
302,VIBEZ,DaBaby,-2.708,0.307
303,Follow God,Kanye West,-3.503,0.418
304,Créeme,KAROL G,-3.501,0.0547
305,Loco Contigo (with J. Balvin & Tyga),DJ Snake,-3.04,0.0567
306,Kiss and Make Up,Dua Lipa,-4.383,0.146
307,Baby (Lil Baby feat. DaBaby),Quality Control,-7.259,0.366
308,Let You Love Me,Rita Ora,-3.344,0.283
309,Homicide (feat. Eminem),Logic,-5.667,0.398
310,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,-6.373,0.12
311,Vaina Loca,Ozuna,-4.249,0.0752
312,Ruin My Life,Zara Larsson,-5.265,0.0578
313,"A Whole New World (End Title) - From '"Aladdin'"",ZAYN,-8.16,0.0319
314,needy,Ariana Grande,-7.948,0.0366
315,NASA,Ariana Grande,-6.887,0.293
316,Slide Away,Miley Cyrus,-6.672,0.0335
317,Solo de Mi,Bad Bunny,-4.314,0.125
318,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,-4.105,0.0571
319,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,-4.653,0.133
320,Best Part (feat. Daniel Caesar),H.E.R.,-10.219,0.0405
321,Whine Up,Nicky Jam,-6.224,0.0758
322,Te Boté - Remix,Nio Garcia,-3.445,0.214
323,Nice To Meet Ya,Niall Horan,-4.351,0.0304
324,Sixteen,Ellie Goulding,-5.445,0.136
325,Tal Vez,Paulo Londra,-2.899,0.106
326,Vossi Bop,Stormzy,-6.062,0.339
327,Rodeo,Lil Nas X,-5.614,0.0324
328,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,-8.054,0.0633
329,Speechless (feat. Erika Sirola),Robin Schulz,-4.777,0.062
330,Adan y Eva,Paulo Londra,-4.47,0.336
331,Aventura,Lunay,-3.208,0.0422
332,bloodline,Ariana Grande,-5.188,0.0774
333,Si Supieras,Daddy Yankee,-1.681,0.115
334,What I Like About You (feat. Theresa Rex),Jonas Blue,-3.584,0.05
335,Rise,Jonas Blue,-4.65,0.0333
336,It's Beginning to Look a Lot like Christmas,Michael Bublé,-11.714,0.0375
337,Envy Me,Calboy,-7.663,0.313
338,Ballin' (with Roddy Ricch),Mustard,-6.678,0.0735
339,bad idea,Ariana Grande,-5.316,0.0723
340,Bad Bad Bad (feat. Lil Baby),Young Thug,-8.888,0.184
341,Before You Go,Lewis Capaldi,-4.858,0.0573
342,Lost in the Fire,Gesaffelstein,-12.159,0.0359
343,Faucet Failure,Ski Mask The Slump God,-9.373,0.335
344,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,-3.234,0.0737
345,Rockin' Around The Christmas Tree,Brenda Lee,-8.749,0.0502
346,Soltera - Remix,Lunay,-4.271,0.0432
347,Jingle Bell Rock,Bobby Helms,-8.463,0.0363
348,imagine,Ariana Grande,-4.985,0.0364
349,Outta My Head (with John Mayer),Khalid,-7.818,0.0316
350,It's You,Ali Gatie,-6.972,0.0287
351,Splashin,Rich The Kid,-8.099,0.565
352,Sola,Manuel Turizo,-5.233,0.111
353,We Will Rock You - Remastered,Queen,-7.316,0.119
354,Baila Conmigo (feat. Kelly Ruiz),Dayvi,-3.506,0.0774
355,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,-4.768,0.42
356,In My Blood,Shawn Mendes,-7.321,0.066
357,Happy Now,Kygo,-6.998,0.0801
358,Goteo,Duki,-3.725,0.0414
359,Atrévete,Nicky Jam,-3.824,0.297
360,Call You Mine,The Chainsmokers,-5.59,0.0289
361,Walk Me Home,P!nk,-6.119,0.0445
362,Taste (feat. Offset),Tyga,-6.385,0.151
363,Space Cadet (feat. Gunna),Metro Boomin,-9.789,0.0645
364,Beautiful People (feat. Khalid),Ed Sheeran,-8.113,0.187
365,Un Año,Sebastian Yatra,-7.062,0.0531
366,Mad Love,Mabel,-2.999,0.172
367,Mistletoe,Justin Bieber,-9.049,0.0467
